,APP,API invoked,Value 1,Value 2,Data type,Org text,Key words,Decision(Xueling),Xiaoyin,Rocky,Final Decision
1,com.roidapp.photogrid,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,Android ID,"They collect:
unique identifiers and other information related to device setting. We use the collected data to conduct research and development. We process information about the way you use and
interact with our Services to: help us improve our Services; build new Services; and build
customized features or Services. Such processing ensures your continued enjoyment of part
or all of our Services.
Designated Countries: Pursuant to the",tracking service without specifc tracker name;  use device identifier without specific info type(android id),abstract,abstract,abstract,no violation
1,com.roidapp.photogrid,com.google.firebase.analytics.FirebaseAnalytics.setUserId,757601f43fe6cab0,,Android ID,,,,,,
1,com.roidapp.photogrid,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,,,,,,
2,com.bbm,com.google.firebase.analytics.FirebaseAnalytics.setUserProperty,device_serial,ZX1G22KHQK,serial number,,app has officially stopped operating,not available,not available,,not available
3,com.zeptolab.ctr.ads,com.mixpanel.android.mpmetrics.MixpanelAPI.identify,757601f43fe6cab0,,Android ID,"4. How is my personal information used for analytics?

As an online business, it is important for us to know how users interact with our Websites and Games
We
 and our Service Providers will collect your Location Information, Device Information, and Advertising IDs
so that we can deliver our Game and Website services to our users, measure, analyze, and improve
performance of the Games and Websites, and to continually update and develop our Games and Websites.","analytics service without tracker name, Device ID",abstract,abstract,abstract,no violation
4,jp.naver.linecamera.android,com.tune.Tune.setAndroidId,757601f43fe6cab0,,android_id,,jp,not in english,not in english,not in english,not in english
4,jp.naver.linecamera.android,com.tune.Tune.setDeviceId,3.55458E+14,,IMEI,,,,,,
5,com.mrnumber.blocker,com.google.firebase.analytics.FirebaseAnalytics.setUserId,757601f43fe6cab0,,android_id,,not mention analytic service,violation,violation,violation,violation
6,com.scoompa.voicechanger,com.flurry.android.FlurryAgent.setUserId,757601f43fe6cab0,,Android ID,"3rd Party services
● The application sends anonymous usage data for analytics pupose to
○ Google Analytics - Including Google Analytics Demographics and Interest
Reporting. You can opt-out by going to Google Settings > Ads settings on your
Android phone.
○ Flurry.com - you can read their privacy policy and opt-out here .","tracker name, anonymous usage",violation,violation,violation,violation
7,com.cootek.smartinputv5,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,"Information We Collect Automatically
unique device identifiers

We may share your information with third parties and service providers that provide
products or services to us, that help us market or advertise to you (including co-branded
marketing and advertising), or that provide products or services to you.
We may allow others to serve advertisements on our behalf across the Internet and to provide
analytics services. These entities may use cookies, web beacons and other technologies to collect
information about your use of the Services and other websites, including your IP address, web
browser, pages viewed, time spent on pages, links clicked and conversion information. This
information may be used by us and others to, among other things, analyze and track data,
determine the popularity of certain content, deliver advertising and content targeted to your
interests on the Services and other websites and better understand your online activity.",analytic service withou tracker name;  unique device identifiers,abstract,abstract,abstract,no violation
8,com.selfawaregames.acecasino,com.tune.Tune.setAndroidId,757601f43fe6cab0,,Android ID,"identifiers associated with the device
We and our service providers may use this information to provide you with personalized advertising and other content, including advertising and content based on your location.

We and our third party service providers use cookies and other technologies, such as mobile device identifiers, to enhance your experience with Big Fish Offerings. 

Third Party Marketplaces and Service Providers:
We may disclose your personal information as well as aggregate, anonymous information to third party business partners, marketplaces, and third parties who perform services for us, such as credit card processing, prize fulfillment, delivering packages, sending postal mail, collecting and analyzing data,","service provider without tracker name,uniqe device identifier",abstract,abstract,abstract,no violation
9,com.gotv.crackle.handset,com.tune.Tune.setAndroidId,757601f43fe6cab0,,Android ID,"In--App Tracking Methods
There are a variety of Tracking Technologies that may be included in mobile applications, and these are not
browser-based like cookies and cannot be controlled by browser settings. Some use device identifier, or other
identifiers such as ""Ad IDs"" to associate app user activity to a particular app and to track user activity across apps
and/or devices.

Service Providers, and/or Third-Party Services may also automatically collect certain information about you when
you access or use the Service. Usage Information may include IP address, device identifier

SPE may use Service Providers for analytics services such as, without limitation, Google Analytics.","analytics services such as, without limitation, Google Analytics.
(not mention Tune)
device identifier",abstract,abstract,abstract,no violation
10,com.zeptolab.ctrexperiments.ads,com.mixpanel.android.mpmetrics.MixpanelAPI.identify,757601f43fe6cab0,,Android ID,"4. How is my personal information used for analytics?

As an online business, it is important for us to know how users interact with our Websites and Games
We
 and our Service Providers will collect your Location Information, Device Information, and Advertising IDs
so that we can deliver our Game and Website services to our users, measure, analyze, and improve
performance of the Games and Websites, and to continually update and develop our Games and Websites.","analytics service without tracker name, Device ID",abstract,abstract,abstract,no violation
11,com.nytimes.android,com.tune.Tune.setUserEmail,utsaresearch2018@gmail.com,,user email,"1. What Personal Information Do We Gather About You?
email address

2. What Do We Do With The Personal Information We Collect About You?
B) Analysis and Development of New Products and Services. We perform statistical, demographic and marketing analyses of users of the NYT Services, and their subscribing and purchasing patterns, so we can analyze or predict our users’","analytics service without tracker name, email address",abstract,abstract,abstract,no violation
12,com.gogii.textplus,com.crashlytics.android.Crashlytics.setUserName,UTSARESEARCH2018-1,,user name,"Standard Analytics Information. We may use, and disclose to third parties, certain aggregate or
anonymous Usage Data regarding the Site and Services. Again, such information does not
identify you individually.

We may use and share with third parties, including advertisers, non-Personal Information you
provide in using the Services, such as general demographic and location information that does
not identify you personally.","analytic service without tracker name, non-Personal Information",violation,violation,violation,violation
13,cz.aponia.bor3,com.crashlytics.android.Crashlytics.setUserIdentifier,757601f43fe6cab0,,Android ID,https://play.google.com/store/apps/details?id=cz.aponia.bor3.czsk&hl=en_US,,webpage error,error,error,error
14,cn.wps.moffice_eng,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,"At the same time, our Services may include third-party tracking tools without limitation to
individual cookies, APIs (application programming interface) and SDKs (software development kit)
which belong to part of the third-party services providers on behalf of Kingsoft to collect and
analyze technical data from you. Kingsoft or aforementioned third-party services providers on
behalf of Kingsoft collect such data not to identify any specific individuality or personality of yours
but to understand how you access and use the Services at general manner. Such data helps us
provide the Services for you, learn how the Services are used, and make the Services more useful
to you. The technical data collected by Kingsoft and the aforementioned third-party services
providers may include:
Your devices or software data, such as your Internet Protocol (“IP IP”) address, device identifier, region and language
settings, network settings and status, operating system, device storage, Android ID and HDID, browser or other
software used to connect our Services;
Your operation data, such as the aggregate","tracking tool without specific name, Andoird ID",abstract,abstract,abstract,no violation
15,com.taggedapp,com.crashlytics.android.Crashlytics.setUserName,utsaresearch2018@gmail.com,,user email,"III. Information We Collect
Email Address And Phone Number

IV. How We Use and Disclose the Information We Collect
Bug fixes and product improvement. To find and fix technology
problems. We send data to companies we do not own in order to
analyze bugs in our websites and apps so that we can keep them
running smoothly.","Bug fixes without tracker name, Email Address",abstract,abstract,abstract,no violation
16,com.myfitnesspal.android,com.crashlytics.android.Crashlytics.setUserName,utsaresearch2018,,user name,"Information About Your Personal Data:
Full name

How We Disclose Personal Data:
With certain companies for purposes of analytics and improvement of the Services.","analytics without tracker name, Full name",abstract,abstract,abstract,no violation
17,es.socialpoint.DragonCity,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,android_id,"Service Providers may collect, or we may share with them, includes your device type, IP address, MAC address or other device ID","marketing analytics
service providers without tracker name, device ID",abstract,abstract,abstract,no violation
18,ru.dublgis.dgismobile,com.appsflyer.AppsFlyerLib.setAndroidIdData,757601f43fe6cab0,,Android ID,,,not in english,,,not in english
19,com.scoompa.collagemaker,com.flurry.android.FlurryAgent.setUserId,757601f43fe6cab0,,Android ID,"3rd Party services
● The application sends anonymous usage data for analytics puposes to
● Google Analytics - Including Google Analytics Demographics and Interest Reporting.
You can opt-out by going to Google Settings > Ads settings on your Android phone.
● Flurry.com - you can read their privacy policy and opt-out here .","flurry,  anonymous usage data",violation,violation,violation,violation
20,com.arcsoft.perfect365,com.flurry.android.FlurryAgent.setUserId,didZX1G22KHQK,,variant_serial number,"This information may be used by itself, aggregated, or combined with mobile identifiers
(such as IDFAs and Android IDs), and shared with other parties, for purposes related to
advertising, attribution (e.g., measuring ad performance), analytics, and research.","analytics,  mobile identifiers",abstract,abstract,abstract,no violation
21,com.scoompa.facechanger,com.flurry.android.FlurryAgent.setUserId,757601f43fe6cab0,,Android ID,"3rd Party services
● The application sends anonymous usage data for analytics puposes to
● Google Analytics - Including Google Analytics Demographics and Interest Reporting.
You can opt-out by going to Google Settings > Ads settings on your Android phone.
● Flurry.com - you can read their privacy policy and opt-out here .","flurry,  anonymous usage data",violation,violation,violation,violation
22,mobi.ifunny,com.crashlytics.android.Crashlytics.setUserName,utsa,,user name,"We may also share your data with certain third parties to aid us in
operating the iFunny website or mobile applications. For example, we
may share your personal data with third parties, such as analytics
providers, to utilize their software tools and measure the effectiveness of
our advertisements. We may also share personal data, such as device
IDs, with third party advertisers to help them determine whether they
should serve an ad to you. The data that we share with these third parties
does not include your email address, name, phone number, or username.","analytics providers, not include username",violation,violation,violation,violation
23,com.scoompa.collagemaker.video,com.flurry.android.FlurryAgent.setUserId,757601f43fe6cab0,,android_id,"3rd Party services
● The application sends anonymous usage data for analytics puposes to
● Google Analytics - Including Google Analytics Demographics and Interest Reporting.
You can opt-out by going to Google Settings > Ads settings on your Android phone.
● Flurry.com - you can read their privacy policy and opt-out here .","flurry,  anonymous usage data",violation,violation,violation,violation
